IMAGE	IMAGE
いかが	いかがでしょう|わざわざ来るならーシャンブルいかが？|ロール白菜はいかが？
ー	おかえりー|スタンプもらぶらぶだー|すごーい|はーい！お風呂後で入るー。|甥っ子のおもりー|ただいまー|にゃっちーずだ|わたしもー|仮眠してお勉強ー|ほぇー、ああいうのって痛いと思ってました|ぎりぎりかーそれもオツかもね|やったー！♪|明日はテストないー|やったー！|みんなテンション高かったのー|みんなえろーい！って|もうしませーん|もちろん、こちらこそ！おーひさん…メモメモ|しゅー！|私も入るー。|あがったー|水分補給して勉強ー|りょーさん、トーク編集できるよ↑|ただいま帰りましたー|おはようー！|おおー|おつかれさまー|起きてたら話そうー？|さわやかー！|いってらっしゃいー|おっけー！ありがとう|帰社日おつかれさまー|はいー！|原付きー|諒さんくらいなら飛ばされそー|はいー|！しゃわー！|りょーさん|ふいーってしてたのにw|では、消去しますー|お部屋にもどるー|うんー|おつかれー！|おはようー。いま起きたよう|おやすみなさいー|うむー|ついたー|ぎゅうー|いまからはいるー|お風呂あがったー|諒さん、ぎゅー|おぉー！|ツイッターでドジっ子描いてーって言われてたからwあわあわしてるのww|うんー。|だーれが勝手に決めた♪レディメイドな今日をくぐり抜けて〜♪|皐月とののんすきー|おー！|ランウェイを歩く笑顔の裏側ー|諒さんおきてー|私の勝ちだー！|な、なんやてー！|しゃわー！|おつかれさまー！お家に帰ります！|ぱちおくん来てるー|おはようー|わー！素敵！！|諒さんも運転おつかれー！|ほー！|バイト疲れましたー|かけますー|諒さんおつかれさまー|おはようー！週末頑張ろう|おかえり！ただいまー|作成はおとーさん。私は盛り付けだけねw|撮影時間長かったー|また諒さんにちゅーしてもらいたい|わかったー。|起きてたらはなしたいー|大変だー|初めていったところだったー|はいよー。まってー|兄に見せようと思ったら、お仕事いっちゃったー|緊張して寝れないー|おつかれさまー！|そんなにしてたのかー|りょーさんつ|あいー！|ぎゅー|わたしもたべおわったー|おそめさんいい顔してるねー♡みんな楽しそうだー|お風呂入ってくるー|おかえりりょーさん|おかえりりょーさん♥︎|金曜！がんばろー！|すきー|いんしてるからかけてー|いまかけてるー|寝てたー！|おやすみー|おっ！いい汗かけたー？|残業かもーって電話で言ってたから|さっすがー！♡|午後からもがんばろー|バイトでもあまり気持ちの良くないこと認知症さんにかけられて気持ち上がらないー|行ってらっしゃい花金がんばろーねー|兄とカラオケですー|こんばんはー！|そやもんでは必須やにー！|おおー！頑張ろねえええ！、|行ってらっしゃーい|ハンバーグすてーき！|麺類てめずらしー|お昼からふぁいとー！|諒さんもおつかれさまー！|おかえりー！|一時的に雨と強い風吹いてたけどいまはなにもー|あがりましたー、|少し寝ますー|ごめんー！|うまくかからないから、かけてー|午後からもがんばろー！|諒さんぎゅうー|おつかれさまですー、|金曜がんばろー！|週末だー！|おつかれさま！私も休憩ー|平日の真ん中です！無理せずにいきましょー！|おつかれさまー。|お風呂ははいってあるー|あともうちょっとがんばろー！|はー|かけてー|つながらない。かけてー|かわいいー|電車遅れていまつきましたー|松阪で電車待ちー|伊勢市駅ついたー！|諒さんおかえりー！|わたしも筋肉痛ー仕事中ニヤついた！|おー！よかった|今年は総勢24人集まりましたー。12人欠席ですうう|おかえりー♥︎|わたしもはいるー|起きるだけおきるー|木曜だー！おはよう|ありがとうー！ただいま|課題にとりかかってるー|おはよ！がんばろー！|お昼からもがんばろー！|晴れてたら、公園でキャッチボールして作ったオヤツ食べたかったのにー|本当におつかれさまー|いま歩いてむかってますー|ありがとうー！|シャワーあびてくるー|おー！ありがとう|りょーさん、PCのパスワードわからないよ|こんにちは！お昼からもがんばろー！|おつかれさまー、|起動させてないー|機種変更してくるー|サイゼリアでしたー|はーいかけるー|こんばんはー|ありがとー！|11時にはなそー|もう病院ついたー|今日もがんばろー♥︎|ありがとー|はなそー|ご飯たべてくるー|まって、かけるわー。|ごめんね、明日はなそー|おつかれさま！帰ってから話そー|ベスト・キッドみてるー|諒さん可愛かったー♪|シャワーはいるー！|でましたー|りょーさんすきー！|あびてくるー|午後からもがんばろー（＾ω＾）|りょーさんおかえりー？|いってらっしゃい！いってきますー！|安くて条件そろってる◞、すごーい！|おはようー午前休校でねますうう|おきてー！|ありがとー！なかなか言えなくて|わー、眼福♡|お好み焼き焼きに連れてもらってますー|ただいまー！|きれいー！|なかーまー！|お風呂あがったー。明日の準備をします！|今週1週間！がんばろー！|いってらっしゃいー！|駅に着いたー|ちゅーしたい♥︎|わたしもー！会えて良かったありがとう♥︎|おかえりなさい、おやすみー|朝風呂あがりー|こんにちは！午後からもがんばろー|おやすみ、りょーさん|ほぉー|タークスのゲームがあったからタークスたくさんいるー|うわぁ、すごく楽しそー◞、|りょーさん！日曜日休みです！！|今日1日がんばろー！|あぁー、席空いてなくて6時3分着のに乗ります|筋肉痛つらいけど、がんばろー|もしかしてついったーみてた？|んーとね、お寿司かな？|りょーさん、|いってきますー！|船橋に向かうー！|名古屋ついたー！|だいすきやにー！いい夢見てね♡|おかえりー。|そっかー、先に寝てるね|お風呂あがりー|媚びられてもジンさんめっちゃドライな対応だから良いわー|おー！さすが諒さん|一緒だ！がんばろー|ごめーん！！|ぎゅー！♡|1/3は11:00〜お昼ごはん食べる予定みたいですー|お家につきましたー！|よかったー！|おかえりなさいー|諒さんぎゅー|おはよっ！今日も1日がんばろー！|1週間がんばろー！|内定もらいましたー！|お医者さんへごー|がんばろー！|おー|もちろんさー|午後からも頑張るぞー|よかったー。こっちも寒いけど、霜焼けに注意|しおん氏のお話をしたら田邊ちゃん「かわいいー！」とのことでせ。|なんでだろーねわざとじゃないのはわかったよ笑|いまおふろー！|りょ、りょーさん|んーおかえり|いまから特急で7時20分名古屋着ですー|ついたよわーわわー|ただいまーあ！|チビちゃんたちのお守りを友輔さんとしてるー|あがったら話そうー？|さんせー！|かけまーす|合格でしたー！|ニトリから届きましたー|バス待ちですー、祝日だから33分発かな|バス乗れましたー！ゴミ出しごめんね💦|いまから帰りますー|おつかれさま！いまから帰りますー|がんばったね！気をつけてお帰りー|けばぶー！|わたし11じくらいに帰りますー|！まってー|ついまー|わかりましたー！今夜は豚の生姜焼きととき卵・しいたけの味噌汁、ワカメ・ツナのさっぱり和えです|いいのー？！|でわでわ、お昼からもがんばるわー|なにつくろー|おでんの元買ってきたー|ただいまマンションついたー|おつかれー！いまお昼休憩入ったところ|おつかれさまー！家事押し付けちゃってごめんー！！|諒さんやっさしー！|ありがとーわかりましたー！|松屋ー|ありがとー。|おーひさん、は初めて会いますね|どこー？|バスのれたー|まだならんでまってるのー|バス乗りましたー|えきにつくー|席近めんばーとご飯食べてきます|りょうさーん|43分予定ー|いまおうちついたー|お昼からもがんばるー！|バス乗り遅れたー|帰ってきましたー。低血糖にてダウン中|ごめーん。今日は晩ごはんサボらせてくださいな。|えきついたー|おぉーい！！|はやーい！|そっかー！|まてない♡もう駅着いたー。|38分発のバスで帰りますー|もうつくー|りょーさん！帰りにコンソメの素買ってきて|うそー！今日おやすみでした！|かえろー！|たくさんのんだー|届いたので試着ー|晩酌したーい！|いまお部屋についたところー|いまかえったー|きゅうけーい！|おわりましたー！|おわったー！|まってー|もうすぐつくー|ぎりぎりまにあったー！|こんにちはー|今終わって帰ー！|おわったー|こんにちは半日あっという間だー|狩人がんばれー|武器強いのほしーね|いま帰りー|いまおわったー|わかりましたー|母と電話してまーす|そろそろ出るー|45分ちょっとすぎるー|よかったー！ごめんね|おー、ちょっと揺れた|諒さんー|いまバス乗ったー|読書は難しい雰囲気だね。とよはちやったー！☺️|カレー作るから食べてあったまろー！|あんまり変わらなかったねw私もいまお家着いたー！|お家いまついたー|満席で予約だめでしたー！|はいー！お家着いたら聞きます|今職場でたとこー|お仕事がんばろー|いきましょー！のみましょー！！|ついたー？|かえるー|わかりましたー！ちょっと勉強しに出ます|はやく終わらせてもらったー！|おはよ、かえりますー|おおー！|出社しますー。朝起こしてくれてありがとう|平和的解決！よかったー！|みんな休みかー|かまどかー|うー|まだ帰れないー|眼医者いま終わったー！視力ガタ落ちしてた|今度眼鏡らしー|来年、自動車免許更新もあるし…眼鏡かー！似合わない気がして不安|やったー！いいのー？|うん、りょうさんどこー？|さっき起きたー|たべてるー|まだまだ帰られぬー|亀戸でのんでるー|休み前にやっちまったー！|ありがとー！いってらっしゃい|入籍報告できたー！|ほっとしたー|おつかれさまですー！|かえりますー|うまく表示されてなかったから分からなかったー。|役所間に合わなかったー。また今度行く|眼鏡屋のとこにいるー|おきてるー？|おわりましたー|はいーついたー|かれーあるよー|ほえー。おいくら？？|つきましたー！|おつかれさまー！カーペット届いたよ！|いまあがったー。おつかれさまー！|うん！おはよ、りょーさん|お昼ご飯にパベポ食べに行ってくるー|区役所おしまいー|髪切りに行きますー|大丈夫ー、|大三元まできたー|終わりそー|りょーかい！|いてらー！これからなんだ！|おかえり。仮眠するー。おやすみなさい|おわったー。ありがとう！|かえったー|ボーナスでましたー！|きゃっほー|バス乗れたけど進まないー|かえるー！|うんー！|こんにちはー！忘年会あしたでしたー|おつかれさまーいまおわったよー|やったー！ありがとう|ケーキ買って帰ったー|貯金80万きましたー！|呑んでるー。|1度取りに帰ったー|まだまだー。|うむ！ショッツル攻略ー！|電車乗り間違えて遅れてますー|何食べるー？|諒くんどこいるー？|いまバスのってますー|良いのなかったら、アルカキットいくー。|寒いから1回かえるー|駅ついたらおしえてー|かいさつまできたー|5番目に診てもらえるー|もう、処理済んでたのに職員やから後回しにされてたー。|帰るー|まだまだー。私も帰ってから食べようと思うの。|今日は日勤業務も少ししてましたー|わー！なにも晩ごはんできてない！|後日規約や申込書とか郵送されますー|バンド練ふぁいとー！|ばんちゃんに食べに行ってくるー|おつかれさま、午後からもがんばろー！|いま帰りだー。諒さんも気をつけてね|まちますー|8時のバスで行くー|のんびりだー|おつかれさま、おやすみなさいー|新年会演奏ふぁいとー|ねむいー|はいー。|顔マッサージおわったー|気持ちよかったー！汚れもたくさんとってもらったよー|ならんでるー|本郷ついたーかえりますー！|まだバス来ぬー|あららー。私も本持ってきたけど読む気起こらないやw|あと停留所3つだー。予定よりゆっくり|ありがと！諒さんあいしてるー！！|駅着いたー|まーす|お勉強で外にいますー|わたしもかえるー|めちゃ混み、スタバも混み混みでテイクアウトして帰ってきたー|いこー！|帰ってきたー|お姉さんでしょー？|電池きれそうー。新幹線乗りましたー。|台所だけなにも出来なかったー！ゴメンね|わー。だだ混み|やっとついたー|北口行きのバスに乗る予定ー|バス乗ったーおうちに帰ればいい？|うとうとしてたー帰り気をつけてね|真ん中にコーヒーのアレがあるんだってー。|しまむらいってきたよー！下着と靴買ったー！|おー？|まねきねこにいるー。合わせて帰ろうかな。|バス乗ったー|提出日前に出すのがやる気。やる気見せろってー。|くやしー！！|いなり寿司もらったー！|いま敷地でたとこー。バス探してかえりますー|お家でまっててー|おー。私もオサにもう帰りな、って言われて帰ってる|録画おっけー！|家に帰れたー。|りょーかいですー！|わたしーまーつーわ〜♪|*\/*おつかれー|ごめん、晩ごはん外で食べてきてー|疲れてぐでーんとしてます|ふぁいとー！|招待する人書き出してるー。きっと起きてます|私も飲みに行ってくるー|兄達に招待リストの相談してたー|おさきー！|カタログはないってー。もらえなかった|おつかれさま！頭痛がするー。熱測ったら37度でした|麻黄湯かな？飲んだー。1品だけどテーブルにおかず作ってあるから良かったら食べてね|りょーさんいないやー|8時発に乗るー|リハの別のにーさんいたww|インスリンお家だー|もうバスのってるー|おうち着いたー|ばすのったー|よかったー。|おつかれさまー。いまバス乗ったよおお|いま録画はじめたー！|帰ってサイト開いたー|おつかれさま午後もがんばろー|バスが53分発のまちー|ありがとうー。|おつかれさまー。午後も頑張る|諒さんー。タクシー乗ったけど現金のみで支払い大ピンチ|黒色たくしーでいきます|今夜飲みに行くー。新小岩だけど|むーぶ|いきたいー！|ついたー。、|出し忘れの連絡が来ましたー。|行き違いでしたー。|おうちついたー|無事に帰って、お風呂入りましたー！|おわりました！6分の北口ファミマ前のバスでかえりますー|あと2つでつきますー|おつかれさま！かえりますー|ファミマ前のバスでかえってますー|8分発のバスで帰るところですー|私も外食して帰るからゆっくりでもー|大丈夫ー。|かくほー！|りよーさん？？？？|90分歌ってくるー|おつかれー|バスに乗れた！いまだ！帰るー！|いきまーす|錦糸町いってきまーす！|どこか食べに行こうー|オイル１本もらったー|いくー|勉強会おわったーかえるううう|ららぱーく|もう実家つくー|つくー|早く終わったー！|おうち着いたらしゅぱつー！|いま新小岩でてアキバむかってるー|一緒にいこー|はっぴーさいえんす？|まにあったー|おいしかったー！|おつかれー。バスが来ないんじゃよ|おるー|おつかれー！さすが坂上！かえってるよー|？おつかれー|高円寺へ出発ー！|めっちゃ外からのぞき穴覗いたー。ほんとに静か！水槽の水の音、店内のピアノBGM|おまたせしてますー|良かったー！|バス間に合ったー|かえってますー|いま新小岩からの電車乗ったところー|タクシー捕まえたー|昨日履いてたパンツ見つからなくて、黒だわー|白ズボン巻いて履いた！おっけー！|いまついたー|んー|おつー|午後も頑張るー|おつかれー。|おつありー|のったー！空いてる|予約できてたー！|今お家ついたー。|いきます！一緒にサミットいこー|13分のバスで北口いきますー|後半もがんばるぞー！|おつかれー！かえるー|髪切りにいくー！|むかいますー|メリーゴーランド前まで進んだー|次で北口前停留所だー。|かえってるー|パイセンに飲みに誘われたけど、明日も仕事だし断ったー、|おつかれさまー。ただいまー|おわったー。抗アレルギー薬もらってかえりますー。|いまお家帰ったところー|いまお家着きましたー、お休み中です|おつれさまですー！|お疲れさまー！|駅についたー|わたしのー|んー？|おつかれさまー！やったぜ！！|おおー、よかったねー！|残業ー。かえるー|錦糸町に買い物いってきますー|んー。5分待って|おつかれさまですー。|おつかれー！いったん帰るー！|荷物多いー！|いててー、だよー！|新宿むかいますー|いきますー|晩ごはんはナシでかえりますー|家ついたー。これからオムライスいってきます！|んー。|ほめてー|いつでもかけてー|でもスタミナ配分間違えたー|わたしもあがったー|いま寺に着いたとこー|予約だめでしたー。20組待ちなので別のお店探すね〜|靭帯損傷ぎみー|リハビリしたー|んー、エールで|診断書貰ったー|でましたー！|わー、男性医だった|わー、男性医ばかりでした|探してみるー|お疲れ様ー！|録画しときますー|いま看護相談おわったところー。これから医師との診察？だー|んんー。|ラグ、とどきましたー！|ダルそうな様子でした。まぶたまでむくみが出てたー。点滴2本入ってて心電図モニタリング中。|新御茶ノ水ついたー。これから病院行って届けて帰るー|もうちょいだー|はい！ありがとうー！❀.❀.|おわったー、かえりますー|届きましたー！！！|わかったー|しんこいわついたー|午後も頑張りましょー|まだ乗ってないー！|カラオケおわったー|買えた！かえるー|予想どおり混み混みー|名古屋でたー|それならお父さんもいるわー|今回の一位はちえこさん、87点でしたー！👏|家族といくわー|もうちょっとで駅に着くー|そろそろあえるー♡|今日やすみー！|おけけー|待合室やー|採血おわりー|あさって、造影検査、しあさってにレントゲン撮影の予約しましたー|北口待ち合わせー
STICKER	STICKER
夜食	お夜食食べてる|お夜食食べてるね|お夜食中
スタンプ	うん！スタンプかわいいよ！|スタンプもらぶらぶだー|うんwスマホ変えたら前のスタンプ消えちゃってて|スタンプ取り直そうとしたら、もう無料じゃなくなってた|スタンプ増えてる！
Wi	今日、Wi-Fi繋げられた！|こっちのWi-Fiかな？
-	今日、Wi-Fi繋げられた！|うん！0-0だねぇ|こっちのWi-Fiかな？|http://www.amazon.co.jp/s/?ie=UTF8&keywords=ｌｅｄ照明器具+天井+和風&tag=googhydr-22&index=electronics&jp-ad-ap=0&hvadid=45864020916&hvpos=1t1&hvexid=&hvnetw=g&hvrand=3984727632002071801&hvpone=&hvptwo=&hvqmt=b&hvdev=m&ref=pd_sl_4t25bh3fsn_b|http://www.ikeda-shomei.co.jp/info/onepoint.html|http://www.princesscruises.jp/sp/travel-agent-list/|http://wedding07.com/arashi-song-1828|http://kyushu-fukkou.jp|http://www.ai-w.com/smart/|先月比-0.3%|-0.1%|http://a-shibuya.jp/sex/vaginal-portion-of-cervix/|予想通り-0.1%でした
Fi	今日、Wi-Fi繋げられた！|こっちのWi-Fiかな？
恋人	恋人専用とあるだけあるね♡|恋人についてもぐいぐい質問してくるし
専用	恋人専用とあるだけあるね♡
